Jan,Nov
Guru Chela,Harry's Bar + Cafe
Rigo Restaurant,Al Lazeez
Sandwich Factory,Cafe Blue Tomato
BTW,Dana Choga
Goosebumps,Sublym - Kitchen & Bar
Chokola,Kuzart Lane
AMA Cafe,Burger Dominion
Thok (The House of Kakori),Spectra - The Leela Ambience
Shree Rathnam,Goosebumps
Nagaland's Kitchen,High5 Cafe & Bar
Aureo Dine & Bake House,Noodle Bowl
Laxman Fast Food,The Tipsy Project
Wafflesome,24/7 Restaurant - The Lalit New Delhi
Chatpata Bong,The Food and Booze Exchange
Bille Di Hatti,Roast House
Sublym - Kitchen & Bar,China Bowl
The Culinary Pitaara,Dhaba
Eleven Course,Mad Over Donuts
18+ Cafe & Lounge,Aslam Chicken
Tipu Sultan,Chakkhna
Yum Yum Cha,Happy Hakka
Desee Dakshin Coastal Cafe,The Grills King
Stellar - The Ashok,Zoe
Cafe Coffee Day,Cinnabon
Varq - The Taj Mahal Hotel,Madison & Pike
The Grills King,Aureo Dine & Bake House
Chidambaram's New Madras Hotel,Prego - The Westin Gurgaon
China Garden,"Game of Legends - Sports Bar, Grill, & Lounge"
Yo! China,Pink Box
Howzatt - The Galaxy Hotel,BRONX Bar Exchange
Midnight Cravings Beyond Control,Khyen Chyen
La Pino'z Pizza,Foozy
Chopsticks,RP's Restaurant
Cottage Café by Smoothie factory,Wok In The Clouds
Being Chef,Informal
Holy Smoke,Wendy's
Qureshi's Kabab Corner,Open Oven
Chache Di Hatti,Moets Coco Palm
Döner Grill,Mad Monkey
Angithi,Baba Nagpal Corner
