Jan,Nov
Scooter on the Wall,PizzaVito
The Delhi Canteen,Telegram
Grub House,Boombox Cafe Reloaded
Tea Trails,Chopsticks
Asian Haus,Obento
Maquina,Nagaland's Kitchen
China Bowl,The Piano Man Jazz Club
Spice Aangan,Chowringhee
Jungle Jamboree,Qureshi's Kabab Corner
Fidahh,Cinnabon
Waffle Hut,Crazy Kitchen Lounge & Terrace
Abongchiiz,Ever Bake
Zaffran,F Bar and Lounge
Teasta,Vero Gusto
Cinnabon,Howzatt - The Galaxy Hotel
Red Mango,Twisted Tacos
Theos,Our Story Bistro & Tea Room
Turquoise Cottage - TC Original 1997,China Chowk
#OFF Campus,Waffle Hut
Sugarama Patisserie,Gung The Palace
Lawn Bistro,La Americana
Gung The Palace,Leaping Caravan
Litti.In,Caterspoint
Hawkers,Al Zaitoon
Cafe Red,Tunday Kababi
Kuremal Mohan Lal Kulfi Wale,Yo! China
Ek Bar,Bemisaal Reloaded
Bangla Foods,Dockyard
Kunzum Travel Cafe,Lakshmi Coffee House
Urban Punjab,Gabbar Meals
OWC- Old World's Charm,Rainbows
Guruprasad Udupi,Scooter on the Wall
Moets Coco Palm,Masabaa
Mr. Brown,Spice Aangan
FrenZone,Wai Yu Mun Ching
Sanjha Chulha,The Lab Cafe
Bong Appetit,Fidahh
Bombay Brunch,Turquoise Cottage - TC Original 1997
Dos Burros,Teasta
The Little Cafe,Cafe Coffee Day
Sandwedges,Tres
Coastal Reef,The Biryani Co.
Gung The Palace,Taste of China
Capsule,Lawn Bistro
En - The Japanese Restaurant,Chic Fish
Gabbar Meals,Fill Up
Giri Momos Centre,Punjabi by Nature
Tibet Kitchen,Bille Di Hatti
Govardhan,Lettuce Eat
Amalfi,Geoffrey's
Piali - The Curry Bistro,Moon Bite
Drifters Cafe,Haandi Pure Veg
Lakshmi Coffee House,Giri Momos Centre
Themis Barbecue House,Go! Biryani
Red Brick Cafe,BSGulati's Punjabi Swad
Taste of China,Kuremal Mohan Lal Kulfi Wale
Adda by Striker,Oh My God
Dhaba - The Claridges,Holy Smoke
Chaat Chowk,The Chocolate Room
The Tipsy Project,Doosri Mehfil
NYC - Radisson Blu Plaza Delhi,My Spice Kitchen
Slice of Italy,Bangla Foods
Fill Up,Chidambaram's New Madras Hotel
Lakhori - Haveli Dharampura,Spooky Sky
Geoffrey's,Turquoise Cottage - TC Original 1997
Tunday Kababi,Kebab Xpress
Zai,Pipeline Cafe
The Immigrant Cafe,Dos Burros
Wat-a-Burger!,Chache Di Hatti
The Headquarter,Chull
Tee Dee,Urban Punjab
Burger Point,Culinate
Roast House,Yumz
Paapi Paet,Cafe Red
The Millionaire Pizza & Pasta,Pirates of Campus
Walk-in Street,Crave Busters
London Cafe,China Garden
The Clock Tower,Litti.In
The Villain Café,LAGOM Kitchen + Brewery
The Qube - The Leela Palace,Sandys Cocktails & Kitchen
Turquoise Cottage - TC Original 1997,Wat-a-Burger!
Chowringhee,Depot29
Chic Fish,Tamra - Shangri-La's - Eros Hotel
The Grill Mill,Ek Bar
Biryani & Qorma Express,Zai
Bemisaal Reloaded,Changezi Chicken
My Spice Kitchen,Made in Punjab
Taksim,Theos
Kaiser,Dana Choga
LAGOM Kitchen + Brewery,Shish Shawarma
Kitchen Mantra,Dhaba - The Claridges
Depaul's,Artusi Ristorante e Bar
Cafeteria & Co.,Bong Appetit
Burger Dominion,En - The Japanese Restaurant
Mediumwelldone,The Big Buddha Grill
The Punjabiis Restro Bar,Starvin' Marvin
Capital Grill,The Culinary Pitaara
Pink Box,Blue Tokai Coffee Roasters
Cafe Illuminatii,Tibet Kitchen
Cafe Foto Club,Rigo Restaurant
Pedro's,Perch Wine & Coffee Bar
Etal The Lounge Bar,Coffee & Chai Co.
Baba Nagpal Corner,Eleven Course
NYC.PIE,Cafe Immigrant
Khidmat,Food O Gram
Sandys Cocktails & Kitchen,Angithi
SKY Lounge Bar & Grill - Hotel The Royal Plaza,The Pavilion - ITC Maurya
Dockyard,Rred Hot Cafe
Chawla's 2,Sugarama Patisserie
Spize Nothing Like That Bar Be Que,Dukes Pastry Shop
Box Office Cafe,Amalfi
PCO,Red Brick Cafe
Top Breads,Spicy N Karara
The Stroke House,Hungry Minister
Depot29,Masala House
Wok In The Clouds,Mediumwelldone
Pizza Square,The Grill Mill
Artusi Ristorante e Bar,Midnight Cravings Beyond Control
Side Wok,Maquina
Wai Yu Mun Ching,Aroma Rest O Bar
Bisque Bakery,Majlis-e-Mughal
Londoners,Beijing Street
BSGulati's Punjabi Swad,Udaipuri
Love Is Cakes,The Qube - The Leela Palace
Monster's Cafe,Zaffran
Pindi,Kaiser
Flaming Chilli Pepper,Mr. Brown
Toast Bar & Grill,Adda by Striker
Kebab Xpress,Pindi
Crudo Juicery,Etal The Lounge Bar
Cheenos,Guruprasad Udupi
Moet's Sizzlers,Cafe Illuminatii
Tau's Cafe & Lassi Bar,Cafe Rendezvous
Qla,Bunta Bar
Cent Percent The Pastry Shop,Drifters Cafe
China Kitchen - Hyatt Regency,London Cafe
Daawat-e-Kashmir,Lakhori - Haveli Dharampura
PizzaVito,Office Office
The Piano Man Jazz Club,Green Lounge
Paddy's Cafe,Kunzum Travel Cafe
Chug It,Seasonings - The Spice Mysteries
Wai Wai City,Burger Point
Lord of the Drinks Chamber,Flaming Wok
Smoothie Factory,Dine-Esty
La Piazza - Hyatt Regency,Mirchievous
Office Office,Tony's
Crazy Kitchen Lounge & Terrace,Döner Grill
The Artful Baker,Londoners
Saleem's Restaurant,Biryani By Kilo
Dukes Pastry Shop,Paapi Paet
Cafe Rendezvous,Crazy Forks
Pirates of Campus,Grub House
#nofilter,Shree Maakhan
City of Joy,Tea Trails
Coffee & Chai Co.,Mandarin Trail
Raaga Reloaded,Cheenos
Haandi Pure Veg,Paddy's Cafe
The Biryani Co.,PCO
Döner Grill,Desi Vibes
Green Lounge,Chawla's Tandoori Xpress
Palomino,Diwan - Indian Restaurant & Bar
Out of the Box,The Chocolate Villa
Boombox Cafe,Dabba Meat
Yo! China,Delifrance- The France Cafe Bakery
Hong Kong Express,Maachh Bhaat
Café Foreground,The Grill Kitchen
Tamra - Shangri-La's - Eros Hotel,Thok (The House of Kakori)
Raw Creams,Cafe Foto Club
Happy Hakka,Chatpata Bong
Delhi - Kingdom of Dreams,Oriental Fusion
Grand Plaza,Gyms Kook Xpress
Delifrance- The France Cafe Bakery,Karnataka
Anand Restaurant,Smoothie Factory
The Coffee Bean & Tea Leaf,Bhape Da Hotel
Burger Hut,Nashta
Rred Hot Cafe,Moet's Sizzlers
Uptown Cafe,The Villain Café
Chickenette,Caffe Mad House
Imperfecto,Pt. Gaya Prasad Shiv Charan Paranthe Wale
Spotlight Bistro & Bar,Crosta Gourmet Pizza
DJ's Pizza & Pasta,Factory
Oh My God,Pikwik
Kaffeine,Cafe Me
Popular Cakery,Qla
Pizza Central,Anand Restaurant
Vapour Bar Exchange,LIT Ultrabar
Jack 'n' Chill,China Kitchen - Hyatt Regency
Maamouchee @ My Way,#OFF Campus
Pt. Gaya Prasad Shiv Charan Paranthe Wale,Binge Restaurant
Ninkasi Imperial Brews & Cookery,Lord of the Drinks Chamber
Dezertfox,7 Barrel Brew Pub
Bulldogs,The Nook
More Than Paranthas,Delhi Club House
Levels HKV,Blue Water Grille
Mandarin Trail,Side Wok
Factory,Niice Cream
Hera Pheri Cafe,Kaffeine
Sibang Bakery,Chug It
Soul Garden,Jack Po!tato's
Raftaar -The High Speed Lounge & Bar,Wafflesome
Pavilion 75 - WelcomHotel Dwarka,More Than Paranthas
Diwan - Indian Restaurant & Bar,Whistling Spices
Flaming Wok,Yum Yum Cha
Tashan,64/6 - Country Inn & Suites
The Chocolate Villa,Alkauser
Shree Maakhan,Tee Dee
64/6 - Country Inn & Suites,Cent Percent The Pastry Shop
Quaff,#nofilter
The Delhi Heights,La Piazza - Hyatt Regency
Delhi Club House,Cafetorium
Cafe Central,La Pino'z Pizza
Seasonal Tastes - The Westin Gurgaon,Nanking
Twisted Tacos,China Bowl
Quote - The Eclectic Bar and Lounge,Raaga Reloaded
China Chowk,Q'BA
Caffe Mad House,Sibang Bakery
Turquoise Cottage - TC Original 1997,Majeed's
Amar Jyoti,The Smoke Factory
Ping's Café Orient,The Delhi Heights
Al Lazeez,Kake Di Hatti
52 Janpath,Maamouchee @ My Way
Charcoal,The Project
ChocoVault,Da' Pizza Planet
Torgauer Brewpub,Hong Kong Express
Barcelos,Spize Nothing Like That Bar Be Que
Shraman - The Ashok,Cafe Central
Cafetorium,Stellar - The Ashok
Masala Art - Taj Palace Hotel,Hera Pheri Cafe
Bunker,Indian Bistro Company
Qahwa - Dinercafe,Ashok & Ashok Meat Dhaba
"34, Chowringhee Lane",Depaul's
Kake Di Hatti,Food Sauda
Alkauser,Dishoom
Nawab Dera,Chef's Kitchen
Chakkhna,Top Breads
Joy Luck Moon,Uptown Cafe
Dishoom,City of Joy
Mukhtalif Biryanis,Wangchuk's Ladakhi Kitchen
TFK - The Flaming Kick,Ghalib Kabab Corner
Food High at My My Kitchen,Bijoli Grill
Cones n Curries,Throttle Shrottle
Al Nawaz Restaurant,Al Nawaz Restaurant
Hadippa - Punjabi Khana Shana,Raasa The Luxuriate Fine Dine
Binge Restaurant,Tap House Cafe
Asia Central,Seasonal Tastes - The Westin Gurgaon
Habibi,Shraman - The Ashok
The One - Le Meridien,The Coffee Bean & Tea Leaf
Soul Curry - Bellagio,Faarsi
Ghalib Kabab Corner,Moets Curry Leaf
Bhape Da Hotel,Chaskaa
DCK- Dana Choga's Kitchen,Bisque Bakery
Binge,Noshi
Crosta Gourmet Pizza,The Punjabiis Restro Bar
Kunafa,Bread & More
Tap House Cafe,Quote - The Eclectic Bar and Lounge
Dana Choga,Bulldogs
Crave Busters,Papa Veg Chinese Food
RP's Restaurant,The Feast Box
Aroma Rest O Bar,Rajinder Ka Dhaba
Cafe Jerry House,Filmy Cafe and Bar
JW Mirage,Popular Cakery
Chaina Ram Sindhi Confectioners,Grand Plaza
Zerzura - Clarion Collection - Qutab,Kiyan - The Roseate
Wangchuk's Ladakhi Kitchen,Turquoise Cottage - TC Original 1997
Cafe Connect,Cafe G - Crowne Plaza
Baluchi - The Lalit New Delhi,Bottles and Barrels
Shaolin,Stop My Starvation
Kanwarji's,Nukkadwala
Big Fat Sandwich,Pavilion 75 - WelcomHotel Dwarka
EGGjactly The Food Truck,Nooshe Joon
Pikwik,Shaolin
Masabaa - The Treasury,KC Restaurant
Rajinder Ka Dhaba,New Town Cafe - Park Plaza
Midnight Hunger Hub,Cafe Amaretto
United Coffee House Rewind,Tashan
KC Restaurant,Beliram Degchiwala
Latitude - Vivanta By Taj,Mister Gulati Bakers
Cafe Secret Society,Sanjay Chur Chur Naan
Indian Bistro Company,Big Fat Sandwich
Nashta,Cafe Red Garden Kitchen
Barrack 62 The Gastro Pub,Bhai Ji Restaurant
The Hangout by 1861,The Cake Point
Happy Hakka,Cafe Turtle
F.R.I.E.N.D.Z,Jack 'n' Chill
Kiyan - The Roseate,Raw Creams
QRO Gourmeteriia,Food High at My My Kitchen
Side Wok,Dietwholic
Jain Chawal Wale,Midnight Sutra
Invitation,Capsule
Sanjay Chur Chur Naan,Xiian
Cafe Turtle,"34, Chowringhee Lane"
United Westends,Gyms Kook
The Nook,Chickenette
Rumours,52 Janpath
Donald's Pastry Shop,Torgauer Brewpub
Culinate,Hadippa - Punjabi Khana Shana
Amici Gourmet Pizza,Latitude - Vivanta By Taj
24 Carat Lounge,The Buffet Wagon
Nizam's Kathi Kabab,Kunafa
The Cake Point,The Addams House
BBQ Beach,Pandey's Paan
Chaskaa,Qahwa - Dinercafe
Harish Phulwari,EGGjactly The Food Truck
Beliram Degchiwala,Binge
S-18 - Radisson Blu,Food Mechanic
West Side Story,Baluchi - The Lalit New Delhi
The Smoke Factory,FrenZone
Karnataka,Invitation
Cafe Tafri,The Junkyard Cafe
Aromas of Pind,Masala Art - Taj Palace Hotel
Mr. Sub,Döner Grill
Ama Restaurant,Uforia
Noodle Bowl,Gopal Foods
Bijoli Grill,Rumours
Cafe Pathshala,Quaff
Mr. Choy,Andhra Biryani House
Orange Chopsticks,Crudo Juicery
Viva O' Viva,Dilkhush Food Plaza
Capitol - The Ashok,Sushiya Express
Phirangi,Arabian Nites
Bakington,Sighri
Rice Bowl,Chaina Ram Sindhi Confectioners
Bandstand,JW Mirage
Sinciti,Themis Barbecue House
Shish Shawarma,Delhi - Kingdom of Dreams
Drift,Sumo Sushi
Cafe Amaretto,Café Foreground
S Bar & Restaurant - Shalom,Moets Oh! Bao
Rajinder Xpress,Nooba
Xiian,Rice Bowl
The Village Deck,Orange Chopsticks
Storm Bar & Grill,Barfi
Spooky Sky,Baked Buns
Qureshi's Kabab Corner,TC Bar & Restaurant
Nukkadwala,Zerzura - Clarion Collection - Qutab
Maachh Bhaat,The Chinese Hut
Comesum,Masabaa - The Treasury
Pan Asian - Sheraton New Delhi Hotel,Uncle's
The Chinese Hut,Out of the Box
Mr. Brown,Hype
Barcelos,Kitchen Mantra
Privilege Punjab,Bunker
Hot Spot,ThaiCrate
Tony's,F.R.I.E.N.D.Z
Remember Me Café,Motuu's Qila
Pandey's Paan,Le ROFL
Over D Top Bistro,West Side Story
Ashok & Ashok Meat Dhaba,Spago
Andhra Biryani House,Cafe Tafri
Joocy,QRO Gourmeteriia
Gardenia Food & Grill,Hi Mircheee
Depot 48,Pan Asian - Sheraton New Delhi Hotel
Ziu,The Diet Kitchen
Khana Khazana,Zauk
Majlis-e-Mughal,Amar Jyoti
Motuu's Qila,Wah! Amritsar
Moti Mahal Delux Tandoori Trail,LeanBodyMeals
China Bowl,Kebabs & Curries
Glued,Atul Chaat Corner
The Big Buddha Grill,The Owl's Kitchen
Blue Water Grille,Cafe Secret Society
Ottimo at West View - ITC Maurya,The Artful Baker
Buzz,Red Chilli
Ristorante Prego,Viva O' Viva
Salad Days,Pioneer's Flavours of China
Amigo's Hub,Kake Di Hatti
Red Chilli,S Bar & Restaurant - Shalom
Mughal Mahal,New Chawla Chicken - Kabab Roll Wale
Uforia,Harish Phulwari
Utopia,Levels HKV
Cheesy Kneads,Cafe Five
Atul Chaat Corner,Comesum
Chicago Pizza,Habibi
Rubaab Restaurant,Big Bite Food Corner
The Junkyard Café,Donald's Pastry Shop
TC Bar & Restaurant,La Kababiyaa
Matamaal,United Westends
Raro,Barcelos
The Addams House,Red Wok
Escape Terrace Bar Kitchen,Changezi Chicken
Food Mechanic,Soul Curry - Bellagio
Divya's Rimpy Restaurant,24 Carat Lounge
Southy,Gharua Exaj
Le ROFL,Pinch Of Salt
Cafe G - Crowne Plaza,Divya's Rimpy Restaurant
Oh So Stoned!,Elation
Cafe - Hyatt Regency,All Heavens
Café Void,Café Void
The Owl's Kitchen,Chick Chicken Barbeque
Kylin Skybar,Mumbai Matinee
Nooba,The Kachori Co.
Hi Mircheee,Big Bake
Pioneer's Flavours of China,Goli Vada Pav No. 1
Papa Veg Chinese Food,Drift
London Street Kitchen,Isabella
Sam's Cafe,NutriVito
Raasa The Luxuriate Fine Dine,Qureshi's Kabab Corner
Oriental Fusion,House of Ming - The Taj Mahal Hotel
Something Saucy,Ding Ding
Chef's Kitchen,Jain Chawal Wale
Lutyens Cocktail House,Otik Cake Shop
Gopal Foods,Glued
House of Ming - The Taj Mahal Hotel,Hunger Station
Dimsum Bros.,Southy
Dilkhush Food Plaza,The Hangout by 1861
O2,Escape Terrace Bar Kitchen
Bottles and Barrels,Rubaab Restaurant
Drums Of Heaven Xpress,Spiceroot
Big Bake,Ristorante Prego
Bread & More,Phirangi
Turquoise Cottage - TC Original 1997,Hunger Cure
Big Yellow Door,Dakshin - Sheraton New Delhi Hotel
Uncle's,Rajinder Xpress
Sighri,Wai Wai City
Cake Bake Shake,Govardhan
JAIL - Behind The Bar,Tea Halt
Diet N Delicacy,Ping's Café Orient
Udaipuri,Mughal Mahal
Fitoor,Bon Appétit
Tom Uncle's Maggi Point,Hybrid
Master Bakers,Sam's Cafe
Chor Bizarre - Hotel Broadway,Aromas of Pind
Karnataka,The Mad Teapot/The Wishing Chair
Shudh,Happy Hakka
The Society Cafe,The Headquarter
Dakshin - Sheraton New Delhi Hotel,O2
Prem Chinese Fast Food,The Golden Dragon
Isabella,Tilak's The Diners
Spago,Joy Luck Moon
Club Ice Cube,Capitol - The Ashok
Junoon __R & __chen,Mistral
Cafe Rouge - Ramada,Alkauser
Maharashtra Sadan,Bandstand
Bailamos Unplugged,Afghan Darbar Restaurant
Arabian Nites,Charcoal Tandoor Grill
Masala House,The Junkyard Café
Oasis - Vivanta by Taj,Hot Spot
Paprika Park,Cafeteria & Co.
Majeed's,SKY Lounge Bar & Grill - Hotel The Royal Plaza
Kamboj's,The One - Le Meridien
La Kababiyaa,Red Mango
Afghan Darbar Restaurant,Cosy Restaurant
Smoke House Deli,Novelty Dairy & Stores
Kake Di Hatti,Frugurpop
Sona Sweets Sri Udipi Restaurant,Buzz
Singh Sahib,Amigo's Hub
Red Mango,New Minar
Gyms Kook,Shudh
High Street Café,Dilli 6 On Wheels
Vero Gusto,The Breakfast Club
MoMo Cafe - Courtyard by Marriott,Barcelos
The Junkyard Cafe,Chicago Pizza
Gharua Exaj,Kanwarji's
Neung Roi - Radisson Blu Plaza Delhi,Vega Pure Vegetarian - Hotel Alka
New Minar,Mr. Brown
The Blue Bar - Taj Palace Hotel,The Shim Tur
Wah Ji Wah,United Coffee House Rewind
Pearls Regency,Take Off Scarlet
Foozy,Lutyens Cocktail House
Drums of Heaven,Spring - Radisson Blu
Dabba Meat,Matamaal
Yumz,Crave Busters
The Jugaad Cafe Bar,Tin Town Café
The Shim Tur,The Spice Room
Karate Kitchen,Burnout
Cafe Five,Mr. Choy
Mist - The Park,Bohemia
Nowhere Terrace Brewpub Cafe,Privilege Punjab
Novelty Dairy & Stores,Ottimo at West View - ITC Maurya
Beijing Street,The Millionaire Pizza & Pasta
Pacific Asia,Khurana Restaurant
The Golden Dragon,Kamboj's
Spice Art - Crowne Plaza,Bakington
Hunger Cure,Fingerlickerz
Crave Busters,Khana Khazana
The Mad Teapot/The Wishing Chair,Chor Bizarre - Hotel Broadway
FreshMenu,Johnny Rockets Express
The Nest,Not Just Pizzas
Cones & Curries,Wah Ji Wah
Mickey's Kitchen,TFK - The Flaming Kick
Sandwedges,Arabian Nites
Mint Leaf,Neighbourhood Bar & Grill
Take Off Scarlet,Yes Minister - Pub & Kitchen
Kapoors Balle Balle,S-18 - Radisson Blu
The Crude House Cafe,Mint Leaf
1911 - The Imperial,Sinciti
The Groghead,Kulfiano
AnnCensored-____Censored,Cafe Cruise
Pinch Of Salt,Gardenia Food & Grill
Hyderabad House,Sumo Sushi
Arabian Delites,JAIL - Behind The Bar
World Art Dining - Cook House,Kapoors Balle Balle
Mini Mughal,Kylin Skybar
Shake Sahab,Captain Bill$ Deliverz
Queen's Bar & Lounge,Art of Spices
NutriVito,Health Buzzz
Spring - Radisson Blu,Neung Roi - Radisson Blu Plaza Delhi
Café Quince,Toast Bar & Grill
Johnny Rockets Express,New York Slice
Playboy Cafe,Bakers Oven
Noshi - Yum Asian Delivery,27 Grills
The Barbeque Company,Cheer Pizza
Kamal's,Shawarma House
New York Slice,Dimsum Bros.
Otik Cake Shop,The Blue Bar - Taj Palace Hotel
Crust Bistro,Cones n Curries
Mughal Dine-esty,Café Quince
1UP,BBQ Beach
The Rust Cookhouse & Bar,Momo King
Zauk,Master Bakers
Frugurpop,The Jugaad Cafe Bar
The Tandoori Village,Cones & Curries
Goli Vada Pav No. 1,Cafe 5H By The Kitchen Connect
Bakers Oven,Mr. Sub
Art of Spices,Raro
Red Wok,Pearls Regency
Spiceroot,Turquoise Cottage - TC Original 1997
Bon Bon Pastry Shop,MoMo Cafe - Courtyard by Marriott
Foodport,Salt N' Pepper
Dilli 32 - The Leela Ambience Convention Hotel,Karnataka
Yes Minister - Pub & Kitchen,Fit Bites
Clay 1 Grill,Cafe Rouge - Ramada
Gyms Kook Xpress,Maharashtra Sadan
Dolma House,Baljeet's Amritsari Koolcha
Cafe Cruise,Cilantro - Trident Gurgaon
Obento,Sandwedges
Moets Oh! Bao,Playboy Cafe
Mithaas,Oasis - Vivanta by Taj
Cake Palace,T.K'S Oriental Grill - Hyatt Regency
Lahori Restaurant,Harish Phulwari
PizzaExpress,Bailamos
Cafe Tangerine & Salt,Habibjaan
The Frat House,Vaango!
Hint Of Health,1911 - The Imperial
RDX,Breakfast 7-11
Idliss Bistro,Mini Mughal
Soul & Spice Co.,OWC- Old World's Charm
Hunter Valley,Something Saucy
Sartoria,Classic
Cosy Restaurant,Over D Top Bistro
New Town Cafe - Park Plaza,Cafe Pathshala
Concept Shawarma,Fusion Bistro
Tea Halt,Moolchand Parantha
Caffé La Poya,Bijoli Grill
Cilantro - Trident Gurgaon,Hunter's Lodge @ JJ
The Calorie Kitchen,FreshMenu
Tandoori Innings,Talli Chicken
T.K'S Oriental Grill - Hyatt Regency,Sona Sweets Sri Udipi Restaurant
Matchbox,1UP
The Feast Box,The Tandoori Village
Classic,Tanddav
Fingerlickerz,Mist - The Park
buéno,Nizam's Kathi Kabab
Kebabs & Curries,Prem Chinese Fast Food
Di Ghent Boulangerie,The Groghead
Smaaash,Idliss
Jack Po!tato's,Foodport
Moti Restaurant,Manjeet Chicken Corner
Pier 38,RDX
Thok (The House of Kakori),Movenpick
Crazy Forks,Vintro
Moolchand Parantha,Giani's
Moon Bite,The Bubble Tea Cafe
Barfi,Utopia
Bhai Ji Foods,Le Cirque - The Leela Palace
Jakoi,3 Pegs Down
Captain Bill$ Deliverz,Greenr Store & Cafe
La Americana,Coffee Home
Gulab,Owlcity
All Heavens,Suruchi
Bohemia,Hint Of Health
Petu Ki Biryani,Hunter Valley
Wrapchick,Sam's Pitstop
The Bubble Tea Cafe,The Village Deck
Alaturka,Moti Mahal Delux
The Mansion Garden Cafe,FreshMenu
Fiery Grillss,The Clay Oven
Hong Kong Express,Krips Restaurant
Bats On Delivery,Mughal Dine-esty
Cafe Gatherings,Mosaic - Crowne Plaza
The Coco Company,Caffe Tonino
The Host,Mithaas
The Submarine Lounge,Sushi Haus
Hunter's Lodge @ JJ,Cake Palace
QD's Restaurant,Dilli 32 - The Leela Ambience Convention Hotel
Chill'm Bar & Cafe,DomDom Biryani
Brew N Barrel,Health Nuts
MY Spice Kitchen & Cafe,Jugaad Kitchen
Lettuce Eat,Lahori Restaurant
Kings Kulfi,The Host
The People & Co.,Cafe - Hyatt Regency
4S Chinese Restaurant,Drums of Heaven
Mosaic - Crowne Plaza,Smoke House Deli
Dilli Treat,Rasoi Deliver
The Clay Oven,The Sky High
Chi Asian Cookhouse,Hong Kong Express
Arabian Nites,Handi Highway Dining
Akira Back - JW Marriott New Delhi,Moksha
Urban Hub,Lemon Twist
New Chawla Chicken - Kabab Roll Wale,The Mansion Garden Cafe
Rasoi Deliver,Wrapchick
Moets Curry Leaf,Bamboo Hut
Movenpick,Fruit Inbox
Kung Fud,Kings Kulfi
Asia Kitchen,Yamu's Panchayat
Not Just Pizzas,London Street Kitchen
Go! Biryani,Fitoor
The Village Café,Junoon Restro Bar
Bollywood Biistro,The Nutty Bunch
EEST - The Westin Gurgaon,Chaar Yaar Café
The Spice Room,Bon Bon Pastry Shop
Food O Gram,Singh Sahib
Hira Sweets,Avatar - Radisson Blu Kaushambi Delhi NCR
Flying Cakes,Dubliin Square
Chick Chicken Barbeque,Sushi Junction
Thai Pavilion - Vivanta By Taj,The Submarine Lounge
Chawla's Tandoori Xpress,Pt.Kanhaiyalal & Durga Prasad Paranthe Wale
Suruchi,Tandoori Innings
Bobby Tikki Wala,Alaturka
Taco Bell,Cafe Jerry House
Americana Kitchen and Bar,Roti Boti
Drool Waffles,Dolma House
Le Cirque - The Leela Palace,Kung Fud
Dietwholic,MY Spice Kitchen & Cafe
Elixir Health Café,Forkrey
Pluck - Pullman New Delhi Aerocity,The Barbeque Company
Baljeet's Amritsari Koolcha,Kwality
Chitrakut,Beijing Street
China Club,Quetzal Cafe Lounge
TBK Kulcha's,Uptown
The Nutty Bunch,Ama Restaurant
Spicy N Karara,Prem Di Hatti
Kwality,Thai Pavilion - Vivanta By Taj
Glenz Cafe N Bakers,The Coco Company
Dubliin Square,Concept Shawarma
Handi Highway Dining,Soul & Spice Co.
Alkauser,Shiv Tikki Wala
Yamu's Panchayat,Dimsum & Co.
Lebanese Point,QD's Restaurant
Zest Bar and Lounge,Chimney Sizzlers
